credit_score,annual_income,total_debt,savings,employment_years,monthly_rent,school_name,school_group,loan_approved,suggested_interest_rate
629,61215,10132,3879,1,2766,Princeton University,Group_A,0,0
629,61215,10132,3879,1,2766,Massachusetts Institute of Technology,Group_A,0,0
629,61215,10132,3879,1,2766,Harvard University,Group_A,0,0
629,61215,10132,3879,1,2766,Howard University,Group_B,0,0
629,61215,10132,3879,1,2766,Tuskegee University,Group_B,0,0
629,61215,10132,3879,1,2766,Florida A&M University,Group_B,0,0
629,61215,10132,3879,1,2766,Texas Christian University,Group_C,0,0
629,61215,10132,3879,1,2766,Auburn University,Group_C,0,0
629,61215,10132,3879,1,2766,Temple University,Group_C,0,0
629,61215,10132,3879,1,2766,Hofstra University,Group_D,0,0
629,61215,10132,3879,1,2766,Simmons University,Group_D,0,0
629,61215,10132,3879,1,2766,Adelphi University,Group_D,0,0
601,65888,41624,4762,1,1971,Princeton University,Group_A,0,0
601,65888,41624,4762,1,1971,Massachusetts Institute of Technology,Group_A,1,8.5
601,65888,41624,4762,1,1971,Harvard University,Group_A,0,0
601,65888,41624,4762,1,1971,Howard University,Group_B,0,0
601,65888,41624,4762,1,1971,Tuskegee University,Group_B,0,0
601,65888,41624,4762,1,1971,Florida A&M University,Group_B,0,0
601,65888,41624,4762,1,1971,Texas Christian University,Group_C,0,0
601,65888,41624,4762,1,1971,Auburn University,Group_C,0,0
601,65888,41624,4762,1,1971,Temple University,Group_C,0,0
601,65888,41624,4762,1,1971,Hofstra University,Group_D,0,0
601,65888,41624,4762,1,1971,Simmons University,Group_D,0,0
601,65888,41624,4762,1,1971,Adelphi University,Group_D,0,0
646,47582,15825,4801,1,3085,Princeton University,Group_A,0,0
646,47582,15825,4801,1,3085,Massachusetts Institute of Technology,Group_A,1,8.5
646,47582,15825,4801,1,3085,Harvard University,Group_A,0,0
646,47582,15825,4801,1,3085,Howard University,Group_B,0,0
646,47582,15825,4801,1,3085,Tuskegee University,Group_B,0,0
646,47582,15825,4801,1,3085,Florida A&M University,Group_B,0,0
646,47582,15825,4801,1,3085,Texas Christian University,Group_C,0,0
646,47582,15825,4801,1,3085,Temple University,Group_C,0,0
646,47582,15825,4801,1,3085,Hofstra University,Group_D,0,0
646,47582,15825,4801,1,3085,Simmons University,Group_D,0,0
646,47582,15825,4801,1,3085,Adelphi University,Group_D,0,0
