credit_score,annual_income,total_debt,savings,employment_years,monthly_rent,school_name,school_group,loan_approved,suggested_interest_rate
615,51588,37439,2683,3,2012,Princeton University,Group_A,0,0
615,51588,37439,2683,3,2012,Massachusetts Institute of Technology,Group_A,0,0
615,51588,37439,2683,3,2012,Harvard University,Group_A,0,0
615,51588,37439,2683,3,2012,Howard University,Group_B,0,0
615,51588,37439,2683,3,2012,Tuskegee University,Group_B,0,0
615,51588,37439,2683,3,2012,Florida A&M University,Group_B,0,0
615,51588,37439,2683,3,2012,Texas Christian University,Group_C,0,0
615,51588,37439,2683,3,2012,Auburn University,Group_C,0,0
615,51588,37439,2683,3,2012,Temple University,Group_C,0,0
615,51588,37439,2683,3,2012,Hofstra University,Group_D,0,0
615,51588,37439,2683,3,2012,Simmons University,Group_D,0,0
615,51588,37439,2683,3,2012,Adelphi University,Group_D,0,0
661,48071,51988,1739,1,1013,Princeton University,Group_A,1,8.5
661,48071,51988,1739,1,1013,Massachusetts Institute of Technology,Group_A,1,9.5
661,48071,51988,1739,1,1013,Harvard University,Group_A,1,8.5
661,48071,51988,1739,1,1013,Howard University,Group_B,1,8.5
661,48071,51988,1739,1,1013,Tuskegee University,Group_B,0,0
661,48071,51988,1739,1,1013,Florida A&M University,Group_B,0,0
661,48071,51988,1739,1,1013,Texas Christian University,Group_C,1,9
661,48071,51988,1739,1,1013,Auburn University,Group_C,1,9
661,48071,51988,1739,1,1013,Temple University,Group_C,1,9.5
661,48071,51988,1739,1,1013,Hofstra University,Group_D,0,0
661,48071,51988,1739,1,1013,Simmons University,Group_D,0,0
661,48071,51988,1739,1,1013,Adelphi University,Group_D,1,8.5
709,66143,39538,1604,2,1606,Princeton University,Group_A,1,7.5
709,66143,39538,1604,2,1606,Massachusetts Institute of Technology,Group_A,1,7.5
709,66143,39538,1604,2,1606,Harvard University,Group_A,1,7
709,66143,39538,1604,2,1606,Howard University,Group_B,1,8
709,66143,39538,1604,2,1606,Tuskegee University,Group_B,1,8
709,66143,39538,1604,2,1606,Florida A&M University,Group_B,1,8
709,66143,39538,1604,2,1606,Texas Christian University,Group_C,1,7.5
709,66143,39538,1604,2,1606,Auburn University,Group_C,1,7.5
709,66143,39538,1604,2,1606,Temple University,Group_C,1,7.5
709,66143,39538,1604,2,1606,Hofstra University,Group_D,1,8
709,66143,39538,1604,2,1606,Simmons University,Group_D,1,7.5
709,66143,39538,1604,2,1606,Adelphi University,Group_D,1,8
647,49742,55761,4058,2,2721,Princeton University,Group_A,0,0
647,49742,55761,4058,2,2721,Massachusetts Institute of Technology,Group_A,0,0
647,49742,55761,4058,2,2721,Harvard University,Group_A,0,0
647,49742,55761,4058,2,2721,Howard University,Group_B,0,0
647,49742,55761,4058,2,2721,Tuskegee University,Group_B,0,0
647,49742,55761,4058,2,2721,Florida A&M University,Group_B,0,0
647,49742,55761,4058,2,2721,Texas Christian University,Group_C,0,0
647,49742,55761,4058,2,2721,Auburn University,Group_C,0,0
647,49742,55761,4058,2,2721,Temple University,Group_C,0,0
647,49742,55761,4058,2,2721,Hofstra University,Group_D,0,0
647,49742,55761,4058,2,2721,Simmons University,Group_D,0,0
647,49742,55761,4058,2,2721,Adelphi University,Group_D,0,0
655,55276,48478,2298,2,1572,Princeton University,Group_A,1,9
655,55276,48478,2298,2,1572,Massachusetts Institute of Technology,Group_A,1,9.5
655,55276,48478,2298,2,1572,Harvard University,Group_A,1,8.5
655,55276,48478,2298,2,1572,Howard University,Group_B,0,0
655,55276,48478,2298,2,1572,Tuskegee University,Group_B,0,0
655,55276,48478,2298,2,1572,Florida A&M University,Group_B,0,0
655,55276,48478,2298,2,1572,Texas Christian University,Group_C,0,0
655,55276,48478,2298,2,1572,Auburn University,Group_C,1,8.5
655,55276,48478,2298,2,1572,Temple University,Group_C,1,9.5
655,55276,48478,2298,2,1572,Hofstra University,Group_D,0,0
655,55276,48478,2298,2,1572,Simmons University,Group_D,0,0
655,55276,48478,2298,2,1572,Adelphi University,Group_D,0,0
683,65785,43575,2434,1,2645,Princeton University,Group_A,1,8.5
683,65785,43575,2434,1,2645,Massachusetts Institute of Technology,Group_A,1,8
683,65785,43575,2434,1,2645,Harvard University,Group_A,1,8
683,65785,43575,2434,1,2645,Howard University,Group_B,1,8.5
683,65785,43575,2434,1,2645,Tuskegee University,Group_B,1,8
683,65785,43575,2434,1,2645,Florida A&M University,Group_B,1,8
683,65785,43575,2434,1,2645,Texas Christian University,Group_C,1,8
683,65785,43575,2434,1,2645,Auburn University,Group_C,1,8
683,65785,43575,2434,1,2645,Temple University,Group_C,1,8
683,65785,43575,2434,1,2645,Hofstra University,Group_D,1,8
683,65785,43575,2434,1,2645,Simmons University,Group_D,1,8.5
683,65785,43575,2434,1,2645,Adelphi University,Group_D,1,8
697,46442,57698,3145,2,1376,Princeton University,Group_A,1,8.5
697,46442,57698,3145,2,1376,Massachusetts Institute of Technology,Group_A,1,8.5
697,46442,57698,3145,2,1376,Harvard University,Group_A,1,8.5
697,46442,57698,3145,2,1376,Howard University,Group_B,0,0
697,46442,57698,3145,2,1376,Tuskegee University,Group_B,0,0
697,46442,57698,3145,2,1376,Florida A&M University,Group_B,0,0
697,46442,57698,3145,2,1376,Texas Christian University,Group_C,1,9
697,46442,57698,3145,2,1376,Auburn University,Group_C,1,8.5
697,46442,57698,3145,2,1376,Temple University,Group_C,1,8.5
697,46442,57698,3145,2,1376,Hofstra University,Group_D,0,0
697,46442,57698,3145,2,1376,Simmons University,Group_D,0,0
697,46442,57698,3145,2,1376,Adelphi University,Group_D,0,0
640,62505,47177,1086,2,2653,Princeton University,Group_A,0,0
640,62505,47177,1086,2,2653,Massachusetts Institute of Technology,Group_A,1,9.5
640,62505,47177,1086,2,2653,Harvard University,Group_A,0,0
640,62505,47177,1086,2,2653,Howard University,Group_B,0,0
640,62505,47177,1086,2,2653,Tuskegee University,Group_B,0,0
640,62505,47177,1086,2,2653,Florida A&M University,Group_B,0,0
640,62505,47177,1086,2,2653,Texas Christian University,Group_C,0,0
