credit_score,annual_income,total_debt,savings,employment_years,monthly_rent,school_name,school_group,loan_approved,suggested_interest_rate
566,51198,11640,3537,2,2425,Princeton University,Group_A,0,0
566,51198,11640,3537,2,2425,Massachusetts Institute of Technology,Group_A,0,0
566,51198,11640,3537,2,2425,Harvard University,Group_A,0,0
566,51198,11640,3537,2,2425,Howard University,Group_B,0,0
566,51198,11640,3537,2,2425,Tuskegee University,Group_B,0,0
566,51198,11640,3537,2,2425,Florida A&M University,Group_B,0,0
566,51198,11640,3537,2,2425,Texas Christian University,Group_C,0,0
566,51198,11640,3537,2,2425,Auburn University,Group_C,0,0
566,51198,11640,3537,2,2425,Temple University,Group_C,0,0
566,51198,11640,3537,2,2425,Hofstra University,Group_D,0,0
566,51198,11640,3537,2,2425,Simmons University,Group_D,0,0
566,51198,11640,3537,2,2425,Adelphi University,Group_D,0,0
709,54415,29080,3787,2,1128,Princeton University,Group_A,1,7.5
709,54415,29080,3787,2,1128,Massachusetts Institute of Technology,Group_A,1,7.5
709,54415,29080,3787,2,1128,Harvard University,Group_A,1,7.5
709,54415,29080,3787,2,1128,Howard University,Group_B,1,8.5
709,54415,29080,3787,2,1128,Tuskegee University,Group_B,1,8.5
709,54415,29080,3787,2,1128,Florida A&M University,Group_B,1,8.5
709,54415,29080,3787,2,1128,Texas Christian University,Group_C,1,8
709,54415,29080,3787,2,1128,Auburn University,Group_C,1,8
709,54415,29080,3787,2,1128,Temple University,Group_C,1,7.5
709,54415,29080,3787,2,1128,Hofstra University,Group_D,1,8
709,54415,29080,3787,2,1128,Simmons University,Group_D,1,8
709,54415,29080,3787,2,1128,Adelphi University,Group_D,1,8
634,58297,52019,1360,3,1252,Princeton University,Group_A,0,0
634,58297,52019,1360,3,1252,Massachusetts Institute of Technology,Group_A,0,0
634,58297,52019,1360,3,1252,Harvard University,Group_A,0,0
634,58297,52019,1360,3,1252,Howard University,Group_B,0,0
634,58297,52019,1360,3,1252,Tuskegee University,Group_B,0,0
634,58297,52019,1360,3,1252,Florida A&M University,Group_B,0,0
634,58297,52019,1360,3,1252,Texas Christian University,Group_C,0,0
634,58297,52019,1360,3,1252,Auburn University,Group_C,0,0
634,58297,52019,1360,3,1252,Temple University,Group_C,0,0
634,58297,52019,1360,3,1252,Hofstra University,Group_D,0,0
634,58297,52019,1360,3,1252,Simmons University,Group_D,0,0
634,58297,52019,1360,3,1252,Adelphi University,Group_D,0,0
577,60521,48180,1691,3,3466,Princeton University,Group_A,0,0
577,60521,48180,1691,3,3466,Massachusetts Institute of Technology,Group_A,0,0
577,60521,48180,1691,3,3466,Harvard University,Group_A,0,0
577,60521,48180,1691,3,3466,Howard University,Group_B,0,0
577,60521,48180,1691,3,3466,Tuskegee University,Group_B,0,0
577,60521,48180,1691,3,3466,Florida A&M University,Group_B,0,0
577,60521,48180,1691,3,3466,Texas Christian University,Group_C,0,0
577,60521,48180,1691,3,3466,Auburn University,Group_C,0,0
577,60521,48180,1691,3,3466,Temple University,Group_C,0,0
577,60521,48180,1691,3,3466,Hofstra University,Group_D,0,0
577,60521,48180,1691,3,3466,Simmons University,Group_D,0,0
577,60521,48180,1691,3,3466,Adelphi University,Group_D,0,0
