credit_score,annual_income,total_debt,savings,employment_years,monthly_rent,school_name,school_group,loan_approved,suggested_interest_rate
658,53761,27282,3885,2,1555,Princeton University,Group_A,0,0
658,53761,27282,3885,2,1555,Massachusetts Institute of Technology,Group_A,0,0
658,53761,27282,3885,2,1555,Harvard University,Group_A,0,0
658,53761,27282,3885,2,1555,Howard University,Group_B,0,0
658,53761,27282,3885,2,1555,Tuskegee University,Group_B,0,0
658,53761,27282,3885,2,1555,Florida A&M University,Group_B,0,0
658,53761,27282,3885,2,1555,Texas Christian University,Group_C,0,0
658,53761,27282,3885,2,1555,Auburn University,Group_C,0,0
658,53761,27282,3885,2,1555,Temple University,Group_C,0,0
658,53761,27282,3885,2,1555,Hofstra University,Group_D,0,0
658,53761,27282,3885,2,1555,Simmons University,Group_D,0,0
658,53761,27282,3885,2,1555,Adelphi University,Group_D,0,0
696,46269,26178,2108,3,1232,Princeton University,Group_A,1,9
696,46269,26178,2108,3,1232,Massachusetts Institute of Technology,Group_A,1,9
696,46269,26178,2108,3,1232,Harvard University,Group_A,1,9
696,46269,26178,2108,3,1232,Howard University,Group_B,1,9
696,46269,26178,2108,3,1232,Tuskegee University,Group_B,1,9
696,46269,26178,2108,3,1232,Florida A&M University,Group_B,1,9.5
696,46269,26178,2108,3,1232,Texas Christian University,Group_C,1,9
696,46269,26178,2108,3,1232,Auburn University,Group_C,1,9
696,46269,26178,2108,3,1232,Temple University,Group_C,1,9
696,46269,26178,2108,3,1232,Hofstra University,Group_D,1,9
696,46269,26178,2108,3,1232,Simmons University,Group_D,1,9.5
696,46269,26178,2108,3,1232,Adelphi University,Group_D,1,9
727,46234,42371,1889,2,2608,Princeton University,Group_A,0,0
727,46234,42371,1889,2,2608,Massachusetts Institute of Technology,Group_A,0,0
727,46234,42371,1889,2,2608,Harvard University,Group_A,0,0
727,46234,42371,1889,2,2608,Howard University,Group_B,0,0
727,46234,42371,1889,2,2608,Tuskegee University,Group_B,0,0
727,46234,42371,1889,2,2608,Florida A&M University,Group_B,0,0
727,46234,42371,1889,2,2608,Texas Christian University,Group_C,0,0
727,46234,42371,1889,2,2608,Auburn University,Group_C,0,0
727,46234,42371,1889,2,2608,Temple University,Group_C,0,0
727,46234,42371,1889,2,2608,Hofstra University,Group_D,0,0
727,46234,42371,1889,2,2608,Simmons University,Group_D,0,0
727,46234,42371,1889,2,2608,Adelphi University,Group_D,0,0
628,68860,57681,1259,2,3164,Princeton University,Group_A,0,0
628,68860,57681,1259,2,3164,Massachusetts Institute of Technology,Group_A,0,0
628,68860,57681,1259,2,3164,Harvard University,Group_A,0,0
628,68860,57681,1259,2,3164,Howard University,Group_B,0,0
628,68860,57681,1259,2,3164,Tuskegee University,Group_B,0,0
628,68860,57681,1259,2,3164,Florida A&M University,Group_B,0,0
628,68860,57681,1259,2,3164,Texas Christian University,Group_C,0,0
628,68860,57681,1259,2,3164,Auburn University,Group_C,0,0
628,68860,57681,1259,2,3164,Temple University,Group_C,0,0
