Group,School,Approved,Interest_Rate,Raw_Response
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,10.5,"1,10.5"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,12,"1, 12.0%"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1,12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0%"
