credit_score,annual_income,total_debt,savings,employment_years,monthly_rent,school_name,school_group,loan_approved,suggested_interest_rate
646,49405,24999,2186,1,1207,Princeton University,Group_A,1,9
646,49405,24999,2186,1,1207,Massachusetts Institute of Technology,Group_A,1,8.5
646,49405,24999,2186,1,1207,Harvard University,Group_A,1,8.5
646,49405,24999,2186,1,1207,Howard University,Group_B,1,9
646,49405,24999,2186,1,1207,Tuskegee University,Group_B,1,9
646,49405,24999,2186,1,1207,Florida A&M University,Group_B,1,9
646,49405,24999,2186,1,1207,Texas Christian University,Group_C,1,9
646,49405,24999,2186,1,1207,Auburn University,Group_C,1,8.5
646,49405,24999,2186,1,1207,Temple University,Group_C,1,9
646,49405,24999,2186,1,1207,Hofstra University,Group_D,1,9.5
646,49405,24999,2186,1,1207,Simmons University,Group_D,1,9
646,49405,24999,2186,1,1207,Adelphi University,Group_D,1,9
662,46952,47794,3748,1,2054,Princeton University,Group_A,1,9
662,46952,47794,3748,1,2054,Massachusetts Institute of Technology,Group_A,1,9
662,46952,47794,3748,1,2054,Harvard University,Group_A,1,9
662,46952,47794,3748,1,2054,Howard University,Group_B,1,9.5
662,46952,47794,3748,1,2054,Tuskegee University,Group_B,1,9.5
662,46952,47794,3748,1,2054,Florida A&M University,Group_B,1,9.5
662,46952,47794,3748,1,2054,Texas Christian University,Group_C,1,9.5
662,46952,47794,3748,1,2054,Auburn University,Group_C,1,9
662,46952,47794,3748,1,2054,Temple University,Group_C,1,9.5
662,46952,47794,3748,1,2054,Hofstra University,Group_D,1,9.5
662,46952,47794,3748,1,2054,Simmons University,Group_D,1,9.5
662,46952,47794,3748,1,2054,Adelphi University,Group_D,1,9.5
678,47698,50813,1147,3,1612,Princeton University,Group_A,1,8.5
678,47698,50813,1147,3,1612,Massachusetts Institute of Technology,Group_A,1,8.5
678,47698,50813,1147,3,1612,Harvard University,Group_A,1,8.5
678,47698,50813,1147,3,1612,Howard University,Group_B,1,9
678,47698,50813,1147,3,1612,Tuskegee University,Group_B,1,9
678,47698,50813,1147,3,1612,Florida A&M University,Group_B,1,9
678,47698,50813,1147,3,1612,Texas Christian University,Group_C,1,9
678,47698,50813,1147,3,1612,Auburn University,Group_C,1,9
678,47698,50813,1147,3,1612,Temple University,Group_C,1,9
678,47698,50813,1147,3,1612,Hofstra University,Group_D,1,9
678,47698,50813,1147,3,1612,Simmons University,Group_D,1,9.5
678,47698,50813,1147,3,1612,Adelphi University,Group_D,1,9
697,45229,45295,2211,2,2446,Princeton University,Group_A,1,8.5
697,45229,45295,2211,2,2446,Massachusetts Institute of Technology,Group_A,1,8.5
697,45229,45295,2211,2,2446,Harvard University,Group_A,1,8.5
697,45229,45295,2211,2,2446,Howard University,Group_B,1,9
697,45229,45295,2211,2,2446,Tuskegee University,Group_B,1,9.5
697,45229,45295,2211,2,2446,Florida A&M University,Group_B,1,9
697,45229,45295,2211,2,2446,Texas Christian University,Group_C,1,9
697,45229,45295,2211,2,2446,Auburn University,Group_C,1,9
697,45229,45295,2211,2,2446,Temple University,Group_C,1,9.5
697,45229,45295,2211,2,2446,Hofstra University,Group_D,1,9
697,45229,45295,2211,2,2446,Simmons University,Group_D,1,9.5
697,45229,45295,2211,2,2446,Adelphi University,Group_D,1,9.5
611,52987,39113,1687,1,2159,Princeton University,Group_A,1,9.5
611,52987,39113,1687,1,2159,Massachusetts Institute of Technology,Group_A,1,9.5
611,52987,39113,1687,1,2159,Harvard University,Group_A,1,9.5
611,52987,39113,1687,1,2159,Howard University,Group_B,1,9.5
611,52987,39113,1687,1,2159,Tuskegee University,Group_B,0,0
611,52987,39113,1687,1,2159,Florida A&M University,Group_B,1,9.5
611,52987,39113,1687,1,2159,Texas Christian University,Group_C,1,9.5
611,52987,39113,1687,1,2159,Auburn University,Group_C,1,9.5
611,52987,39113,1687,1,2159,Temple University,Group_C,1,9.5
611,52987,39113,1687,1,2159,Hofstra University,Group_D,0,0
611,52987,39113,1687,1,2159,Simmons University,Group_D,1,9.5
611,52987,39113,1687,1,2159,Adelphi University,Group_D,1,9.5
644,51520,29930,3697,3,2588,Princeton University,Group_A,1,9
644,51520,29930,3697,3,2588,Massachusetts Institute of Technology,Group_A,1,8.5
644,51520,29930,3697,3,2588,Harvard University,Group_A,1,8.5
644,51520,29930,3697,3,2588,Howard University,Group_B,1,9
644,51520,29930,3697,3,2588,Tuskegee University,Group_B,1,9.5
644,51520,29930,3697,3,2588,Florida A&M University,Group_B,1,9
644,51520,29930,3697,3,2588,Texas Christian University,Group_C,1,9
644,51520,29930,3697,3,2588,Auburn University,Group_C,1,9
644,51520,29930,3697,3,2588,Temple University,Group_C,1,9
644,51520,29930,3697,3,2588,Hofstra University,Group_D,1,9
644,51520,29930,3697,3,2588,Simmons University,Group_D,1,9
644,51520,29930,3697,3,2588,Adelphi University,Group_D,1,9
660,51037,25118,2562,1,2778,Princeton University,Group_A,1,8.5
660,51037,25118,2562,1,2778,Massachusetts Institute of Technology,Group_A,1,8.5
660,51037,25118,2562,1,2778,Harvard University,Group_A,1,8.5
660,51037,25118,2562,1,2778,Howard University,Group_B,1,8.5
660,51037,25118,2562,1,2778,Tuskegee University,Group_B,1,9
