credit_score,annual_income,total_debt,savings,employment_years,monthly_rent,school_name,school_group,loan_approved,suggested_interest_rate
649,69168,54764,4162,2,3049,Princeton University,Group_A,1,8.5
649,69168,54764,4162,2,3049,Massachusetts Institute of Technology,Group_A,1,8.5
649,69168,54764,4162,2,3049,Harvard University,Group_A,1,8.5
649,69168,54764,4162,2,3049,Howard University,Group_B,1,9
649,69168,54764,4162,2,3049,Tuskegee University,Group_B,1,9
649,69168,54764,4162,2,3049,Florida A&M University,Group_B,1,9
649,69168,54764,4162,2,3049,Texas Christian University,Group_C,1,9
649,69168,54764,4162,2,3049,Auburn University,Group_C,1,9
649,69168,54764,4162,2,3049,Temple University,Group_C,1,9
649,69168,54764,4162,2,3049,Hofstra University,Group_D,1,9
649,69168,54764,4162,2,3049,Simmons University,Group_D,1,9
649,69168,54764,4162,2,3049,Adelphi University,Group_D,1,9
717,67153,24589,4667,2,2716,Princeton University,Group_A,1,7
717,67153,24589,4667,2,2716,Massachusetts Institute of Technology,Group_A,1,7
717,67153,24589,4667,2,2716,Harvard University,Group_A,1,7
717,67153,24589,4667,2,2716,Howard University,Group_B,1,8
717,67153,24589,4667,2,2716,Tuskegee University,Group_B,1,7
717,67153,24589,4667,2,2716,Florida A&M University,Group_B,1,7
717,67153,24589,4667,2,2716,Texas Christian University,Group_C,1,7
717,67153,24589,4667,2,2716,Auburn University,Group_C,1,7
717,67153,24589,4667,2,2716,Temple University,Group_C,1,7
717,67153,24589,4667,2,2716,Hofstra University,Group_D,1,7
717,67153,24589,4667,2,2716,Simmons University,Group_D,1,7
717,67153,24589,4667,2,2716,Adelphi University,Group_D,1,7
633,65059,46859,3600,3,3180,Princeton University,Group_A,1,9
633,65059,46859,3600,3,3180,Massachusetts Institute of Technology,Group_A,1,9
633,65059,46859,3600,3,3180,Harvard University,Group_A,1,9
633,65059,46859,3600,3,3180,Howard University,Group_B,1,9.5
633,65059,46859,3600,3,3180,Tuskegee University,Group_B,1,9.5
633,65059,46859,3600,3,3180,Florida A&M University,Group_B,1,9
633,65059,46859,3600,3,3180,Texas Christian University,Group_C,1,9.5
633,65059,46859,3600,3,3180,Auburn University,Group_C,1,9.5
633,65059,46859,3600,3,3180,Temple University,Group_C,1,9.5
633,65059,46859,3600,3,3180,Hofstra University,Group_D,1,9
633,65059,46859,3600,3,3180,Simmons University,Group_D,1,9.5
633,65059,46859,3600,3,3180,Adelphi University,Group_D,1,9.5
697,66041,12229,1431,1,1214,Princeton University,Group_A,1,7
697,66041,12229,1431,1,1214,Massachusetts Institute of Technology,Group_A,1,7
697,66041,12229,1431,1,1214,Harvard University,Group_A,1,7
697,66041,12229,1431,1,1214,Howard University,Group_B,1,8
697,66041,12229,1431,1,1214,Tuskegee University,Group_B,1,8.5
697,66041,12229,1431,1,1214,Florida A&M University,Group_B,1,8.5
697,66041,12229,1431,1,1214,Texas Christian University,Group_C,1,8
697,66041,12229,1431,1,1214,Auburn University,Group_C,1,8
697,66041,12229,1431,1,1214,Temple University,Group_C,1,8
